type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
PAYMENT,9075.83,C973406300,13821.0,4745.17,M2021839292,0.0,0.0,0,0
PAYMENT,6057.29,C1198906759,5577.0,0.0,M1672699452,0.0,0.0,0,0
PAYMENT,5244.97,C391941381,35.0,0.0,M72098688,0.0,0.0,0,0
PAYMENT,5297.81,C1798233501,0.0,0.0,M448393842,0.0,0.0,0,0
CASH_IN,444098.8,C1869505175,21094.0,465192.8,C701200999,180018.7,0.0,0,0
CASH_IN,139382.79,C150906645,3016364.1,3155746.89,C1556801274,1533380.12,1393997.33,0,0
PAYMENT,2215.81,C1934173760,0.0,0.0,M873280139,0.0,0.0,0,0
TRANSFER,859045.85,C1109021920,0.0,0.0,C760111221,3601967.49,4461013.33,0,0
CASH_OUT,50295.88,C1429104878,0.0,0.0,C65628411,1400781.09,1451076.97,0,0
CASH_IN,234186.6,C74780242,854727.14,1088913.74,C2014889877,444705.53,210518.94,0,0
PAYMENT,10407.47,C1764663367,0.0,0.0,M1945395575,0.0,0.0,0,0
CASH_IN,88487.48,C1706912340,8445871.52,8534359.0,C912360645,120971.49,32484.01,0,0
PAYMENT,2155.82,C1506411055,80684.0,78528.18,M1100693083,0.0,0.0,0,0
CASH_IN,27774.23,C415594788,232207.22,259981.45,C1617017604,126562.33,408674.43,0,0
CASH_OUT,364201.87,C2016429824,1850.0,0.0,C1103758765,1354362.9,1718564.77,0,0
CASH_OUT,195480.2,C869370239,5017.0,0.0,C408914998,1096051.26,1291531.46,0,0
TRANSFER,177478.54,C2033680863,29327.0,0.0,C2096726620,51866.64,1081920.97,0,0
CASH_IN,21997.66,C238935230,6725.5,28723.17,C65617309,0.0,0.0,0,0
PAYMENT,20824.3,C351956161,50274.0,29449.7,M1117075196,0.0,0.0,0,0
CASH_OUT,203294.97,C1161770842,0.0,0.0,C227608272,632358.64,835653.6,0,0
PAYMENT,10187.79,C2010330971,19869.0,9681.21,M1557518727,0.0,0.0,0,0
CASH_OUT,124778.04,C414879178,20728.0,0.0,C1786484209,129181.07,253959.1,0,0
CASH_OUT,130883.46,C1634782162,11842.0,0.0,C348167907,42071.24,172954.7,0,0
CASH_OUT,18652.99,C895893394,0.0,0.0,C1399939652,488316.29,506969.28,0,0
CASH_OUT,347050.24,C540195282,30289.0,0.0,C93239333,0.0,347050.24,0,0
CASH_OUT,6284.8,C1347242911,11894.0,5609.2,C1452911945,202156.73,208441.53,0,0
PAYMENT,8449.71,C1623970575,0.0,0.0,M1560927342,0.0,0.0,0,0
CASH_OUT,336855.42,C902701664,17054.0,0.0,C1202341714,48896.44,385751.86,0,0
CASH_OUT,53986.78,C1339537286,16152.0,0.0,C1685209055,362865.62,416852.4,0,0
CASH_IN,63021.69,C1098845543,2307896.5,2370918.18,C396430942,1701878.9,1638857.22,0,0
PAYMENT,1375.31,C265975770,0.0,0.0,M373586699,0.0,0.0,0,0
CASH_IN,306375.75,C1985663106,20814.0,327189.75,C1269535111,68624.69,0.0,0,0
CASH_IN,146124.65,C1558676625,868490.87,1014615.52,C1819857850,1848586.72,1702462.07,0,0
PAYMENT,20531.03,C356028556,84386.0,63854.97,M1606951045,0.0,0.0,0,0
TRANSFER,215036.08,C1226826,0.0,0.0,C1776075081,607585.66,822621.74,0,0
CASH_OUT,183257.53,C125174591,0.0,0.0,C1150630865,4214564.03,4397821.56,0,0
CASH_OUT,176514.86,C253415892,2716.0,0.0,C334647110,0.0,176514.86,0,0
PAYMENT,9575.27,C281092400,1180.08,0.0,M849235992,0.0,0.0,0,0
CASH_IN,107831.91,C1664908298,1939574.44,2047406.36,C456526192,2651145.28,2543313.37,0,0
PAYMENT,5366.97,C1202423399,53713.0,48346.03,M1284985144,0.0,0.0,0,0
CASH_IN,202104.82,C633749173,2777886.27,2979991.09,C1016473842,1084561.81,882456.99,0,0
PAYMENT,56704.75,C1343807497,160721.0,104016.25,M1691223725,0.0,0.0,0,0
CASH_IN,205732.4,C537766241,2990103.32,3195835.72,C771078480,617122.65,411390.25,0,0
PAYMENT,15268.23,C267919496,0.0,0.0,M53686864,0.0,0.0,0,0
CASH_IN,391620.32,C555087152,0.0,391620.32,C2066602083,14720140.11,14328519.79,0,0
CASH_IN,57653.64,C711035627,1575087.82,1632741.46,C198862197,5851061.31,5712019.74,0,0
TRANSFER,86212.49,C346903340,174935.54,88723.05,C995579144,1116809.06,1203021.55,0,0
PAYMENT,290.0,C1902199175,21536.0,21246.0,M2002643994,0.0,0.0,0,0
CASH_OUT,317373.42,C231139949,6023.0,0.0,C538086163,8636212.78,8953586.2,0,0
CASH_IN,184308.58,C507066067,19181.0,203489.58,C2130142904,69086.21,47220.36,0,0
CASH_OUT,241788.21,C2110217104,93475.0,0.0,C1549174019,0.0,241788.21,0,0
CASH_OUT,218683.31,C1819289084,204934.45,0.0,C970834175,1256116.88,1474800.19,0,0
CASH_IN,123778.95,C1112166588,6856674.67,6980453.62,C1066225919,715089.04,591310.1,0,0
CASH_OUT,7060.29,C1580566103,0.0,0.0,C1072636204,142380.03,149440.32,0,0
PAYMENT,19169.25,C953266520,340.0,0.0,M1005092359,0.0,0.0,0,0
TRANSFER,33086.3,C184899224,0.0,0.0,C1562954170,439443.25,472529.55,0,0
CASH_OUT,60355.47,C534825530,0.0,0.0,C925396148,284467.33,344822.81,0,0
TRANSFER,1883754.71,C1185047750,0.0,0.0,C185024017,14216360.25,16100114.96,0,0
PAYMENT,2806.69,C1429245825,601351.0,598544.31,M1295179528,0.0,0.0,0,0
CASH_OUT,53996.5,C155869481,0.0,0.0,C862909013,592191.94,646188.44,0,0
CASH_IN,18860.86,C628245949,11304417.57,11323278.43,C1369966781,190064.19,171203.33,0,0
PAYMENT,1754.14,C1829053668,42478.5,40724.36,M982956586,0.0,0.0,0,0
TRANSFER,206823.24,C1492860295,150731.0,0.0,C1247018470,289477.8,496301.04,0,0
PAYMENT,10909.19,C1438980858,0.0,0.0,M1720316179,0.0,0.0,0,0
CASH_IN,19387.12,C716155851,1913379.57,1932766.69,C980513962,64061.69,44674.57,0,0
PAYMENT,7796.53,C2125734935,0.0,0.0,M1875811470,0.0,0.0,0,0
CASH_IN,373360.89,C943466391,2699569.22,3072930.11,C15644593,455709.46,82348.56,0,0
CASH_IN,48656.7,C288477661,8705790.8,8754447.5,C1679264371,1182479.44,1133822.74,0,0
PAYMENT,57085.33,C404917086,86722.96,29637.63,M743520053,0.0,0.0,0,0
PAYMENT,6957.27,C2121133526,0.0,0.0,M493299060,0.0,0.0,0,0
CASH_IN,110864.18,C201232861,703623.65,814487.84,C1013613133,2976860.31,2880106.95,0,0
PAYMENT,16850.2,C1236363735,450004.21,433154.01,M1950603706,0.0,0.0,0,0
CASH_OUT,84923.56,C1464482466,1217.57,0.0,C1708235022,99747.16,184670.73,0,0
CASH_IN,139175.49,C1945225118,6833218.8,6972394.29,C221536892,2030494.08,1850263.73,0,0
CASH_OUT,38781.48,C1749000385,74066.0,35284.52,C1623348097,644709.6,683491.08,0,0
PAYMENT,5955.36,C1856912355,0.0,0.0,M1308795720,0.0,0.0,0,0
CASH_OUT,238636.87,C1607717929,10507.0,0.0,C254349160,282787.59,521424.45,0,0
CASH_IN,336031.81,C589466142,50772.0,386803.81,C222201177,1613055.3,970050.45,0,0
PAYMENT,3947.48,C1972250159,3260.0,0.0,M1216290877,0.0,0.0,0,0
CASH_IN,149944.8,C1636499566,617829.75,767774.55,C1008012451,5285852.37,5135907.57,0,0
PAYMENT,18119.95,C76431450,0.0,0.0,M1731112688,0.0,0.0,0,0
CASH_OUT,536782.37,C462046004,0.0,0.0,C562635378,1988239.4,3480013.51,0,0
CASH_OUT,240023.43,C1081959419,10761.0,0.0,C906853494,134420.47,374443.91,0,0
PAYMENT,2167.6,C1599497455,0.0,0.0,M1335614588,0.0,0.0,0,0
CASH_OUT,138863.09,C1836572951,0.0,0.0,C1573639036,263972.04,402835.14,0,0
PAYMENT,548.01,C1046014762,501729.97,501181.96,M1137749403,0.0,0.0,0,0
CASH_OUT,98755.22,C1896027192,0.0,0.0,C1942256519,1010006.56,1108761.77,0,0
CASH_OUT,31250.42,C1945120324,51168.0,19917.58,C1938727202,904605.18,935855.59,0,0
CASH_IN,20458.2,C1193946998,29748.0,50206.2,C1770795694,771160.46,750702.26,0,0
CASH_IN,205353.96,C1336241160,960676.61,1166030.58,C386246691,1710395.29,1505041.33,0,0
CASH_OUT,63107.01,C1267072139,0.0,0.0,C1465034067,68883.0,73407.48,0,0
CASH_OUT,441425.2,C1799575818,9468.0,0.0,C824242767,596471.17,1037896.37,0,0
CASH_IN,129290.94,C252728439,619.0,129909.94,C1682408831,28721.71,0.0,0,0
CASH_IN,119170.76,C740484175,71368.0,190538.76,C256674477,48699.7,0.0,0,0
PAYMENT,30567.0,C1917545882,0.0,0.0,M663491080,0.0,0.0,0,0
PAYMENT,12264.74,C95323119,0.0,0.0,M268083840,0.0,0.0,0,0
TRANSFER,658135.26,C380898306,0.0,0.0,C1521879161,1298341.7,1956476.96,0,0
CASH_OUT,430285.21,C845613239,0.0,0.0,C1331531264,1369133.07,1799418.28,0,0
CASH_OUT,22316.16,C245852826,0.0,0.0,C277792428,241422.48,263738.64,0,0
CASH_OUT,194857.37,C1065441534,0.0,0.0,C1601924027,481493.43,676350.8,0,0
PAYMENT,25694.44,C696701627,63362.0,37667.56,M791983700,0.0,0.0,0,0
CASH_IN,217200.08,C873691356,8959256.76,9176456.84,C1568751642,669065.3,451865.22,0,0
PAYMENT,2603.89,C1338037147,78678.0,76074.11,M1405708241,0.0,0.0,0,0
CASH_OUT,164334.34,C1549199183,20501.0,0.0,C2123678054,1472910.24,1637244.58,0,0
PAYMENT,9422.07,C231536745,0.0,0.0,M825782516,0.0,0.0,0,0
CASH_OUT,231136.9,C1807722985,482734.3,251597.4,C1844370898,3271565.36,3502702.26,0,0
PAYMENT,30623.33,C1673265519,0.0,0.0,M1597359340,0.0,0.0,0,0
TRANSFER,553369.34,C216023760,57514.0,0.0,C804111984,10871230.94,11424600.28,0,0
CASH_IN,225669.39,C455551388,222007.97,447677.36,C742439419,390172.55,0.0,0,0
CASH_IN,71089.53,C1076796124,2786634.92,2857724.44,C805503138,278725.71,207636.18,0,0
CASH_IN,90354.43,C1797971387,6171129.27,6261483.7,C906814258,154454.58,64100.15,0,0
CASH_OUT,262103.95,C358837162,0.0,0.0,C536627938,2107385.5,2369489.45,0,0
CASH_IN,112259.63,C621146529,75417.0,187676.63,C1231120814,298781.36,186521.73,0,0
PAYMENT,8737.62,C2063705248,2140.0,0.0,M467636734,0.0,0.0,0,0
CASH_OUT,1788.04,C1828415545,10320.0,8531.96,C724789640,425637.23,427425.27,0,0
PAYMENT,6709.46,C628235896,29821.0,23111.54,M859040377,0.0,0.0,0,0
TRANSFER,292349.68,C986582812,11136.0,0.0,C1915584392,24493.66,316843.34,0,0
CASH_OUT,287078.3,C1317690322,19276.0,0.0,C1019548306,46656870.07,46943948.37,0,0
CASH_OUT,34224.03,C1756515606,55219.0,20994.97,C246836229,0.0,34224.03,0,0
PAYMENT,17621.83,C200125795,45057.0,27435.17,M1972311032,0.0,0.0,0,0
CASH_IN,122193.14,C206984221,3010664.7,3132857.85,C408910098,460949.32,338756.18,0,0
PAYMENT,10562.82,C1192163439,0.0,0.0,M1978719583,0.0,0.0,0,0
CASH_OUT,305389.81,C895431872,0.0,0.0,C1179647291,4623565.49,4928955.3,0,0
CASH_IN,302672.02,C1693456378,1791992.38,2094664.4,C163690786,1919329.5,1616657.48,0,0
CASH_IN,152893.44,C1016444834,282668.92,435562.36,C830136496,1357462.95,1204569.51,0,0
TRANSFER,26878.32,C573831334,0.0,0.0,C358745053,7799107.65,7825985.97,0,0
CASH_OUT,104948.33,C814363023,0.0,0.0,C230529776,2349895.56,2454843.88,0,0
CASH_IN,147368.5,C779584338,177.0,147545.5,C1662173477,1478969.61,1331601.11,0,0
CASH_IN,222875.83,C1045623657,90193.0,313068.83,C183164773,266341.29,43465.45,0,0
CASH_OUT,250023.41,C1620285470,0.0,0.0,C958513205,27149992.84,27400016.24,0,0
CASH_IN,224509.57,C2017885654,211463.78,435973.35,C2054453247,2058600.21,1834090.63,0,0
PAYMENT,6776.72,C1730996446,0.0,0.0,M2006867888,0.0,0.0,0,0
CASH_IN,124010.58,C755629715,22251.0,146261.58,C1739213212,4566496.49,4442485.91,0,0
PAYMENT,7584.75,C1029406906,0.0,0.0,M1190868350,0.0,0.0,0,0
TRANSFER,297907.06,C1825043877,0.0,0.0,C756832757,1008699.73,1306606.79,0,0
TRANSFER,172173.8,C850050903,0.0,0.0,C2105694114,631872.05,804045.85,0,0
CASH_IN,81742.92,C617775773,211.0,81953.92,C644392185,6310545.6,6228802.68,0,0
PAYMENT,3666.89,C48475197,69565.0,65898.11,M1033242389,0.0,0.0,0,0
PAYMENT,7266.26,C420739272,17083.0,9816.74,M1779337611,0.0,0.0,0,0
PAYMENT,11525.09,C616435513,0.0,0.0,M493762279,0.0,0.0,0,0
CASH_IN,161246.96,C1143261459,1655394.34,1816641.3,C2082587026,465624.86,511902.1,0,0
CASH_OUT,357281.21,C1058010862,0.0,0.0,C1979772929,1427206.06,1784487.27,0,0
CASH_IN,130309.69,C1359522103,6012944.41,6143254.1,C1274221418,239754.12,109444.43,0,0
CASH_IN,290665.58,C2112165398,8786.85,299452.44,C1632121297,1331017.74,1040352.16,0,0
PAYMENT,8783.84,C1610445494,20736.0,11952.16,M1699626618,0.0,0.0,0,0
PAYMENT,12550.83,C1984054853,26499.0,13948.17,M16708399,0.0,0.0,0,0
CASH_OUT,30545.43,C2065725519,10571.0,0.0,C1926884159,0.0,30545.43,0,0
CASH_IN,162414.87,C611875656,26465.0,188879.87,C164918659,0.0,0.0,0,0
PAYMENT,7469.98,C751071592,0.0,0.0,M1872353599,0.0,0.0,0,0
TRANSFER,113552.09,C480624696,0.0,0.0,C950169879,2034294.68,2147846.77,0,0
CASH_IN,435760.21,C2135078881,2554283.97,2990044.19,C1663992167,582764.69,147004.47,0,0
CASH_OUT,41682.32,C21991416,0.0,0.0,C1105308215,718468.08,760150.4,0,0
CASH_OUT,215662.51,C558184631,607.73,0.0,C1447426958,2417737.79,2633400.3,0,0
CASH_IN,175317.2,C600418114,9674439.39,9849756.59,C58608931,182718.49,7401.29,0,0
CASH_OUT,134892.34,C1725343135,31484.0,0.0,C1211744499,0.0,134892.34,0,0
CASH_IN,114442.87,C1925421509,2472369.6,2586812.47,C3355829,162033.89,47591.02,0,0
CASH_IN,110127.69,C1415796161,4885626.68,4995754.37,C1801848476,753890.3,643762.61,0,0
TRANSFER,93071.49,C1909027134,0.0,0.0,C255034364,903746.34,935109.39,0,0
PAYMENT,11979.7,C1274887262,11677.0,0.0,M1282496452,0.0,0.0,0,0
PAYMENT,24570.23,C691914390,5084.32,0.0,M1103814073,0.0,0.0,0,0
CASH_OUT,539784.14,C1400198460,0.0,0.0,C69424971,2078796.3,2618580.44,0,0
PAYMENT,1711.25,C110025597,36755.0,35043.75,M305583864,0.0,0.0,0,0
CASH_OUT,290041.16,C531550929,206429.0,0.0,C1397347378,0.0,290041.16,0,0
CASH_OUT,10638.72,C436584220,11001.0,362.28,C624787056,88893.18,99531.9,0,0
CASH_OUT,37609.85,C593163139,13595.0,0.0,C995258335,0.0,37609.85,0,0
PAYMENT,21651.27,C482612893,0.0,0.0,M171097740,0.0,0.0,0,0
PAYMENT,9444.06,C2080449919,0.0,0.0,M1633052295,0.0,0.0,0,0
CASH_IN,260372.94,C1067566814,2509632.59,2770005.53,C387079201,275964.1,15591.16,0,0
CASH_OUT,99887.99,C450430778,0.0,0.0,C147259836,470413.26,570301.25,0,0
CASH_IN,40889.98,C1181279944,4538761.49,4579651.48,C309124429,1520235.65,1479345.67,0,0
CASH_IN,117564.12,C540148788,14926.0,132490.12,C502884833,0.0,0.0,0,0
TRANSFER,643556.1,C1231828623,283173.0,0.0,C1832560763,0.0,643556.1,0,0
PAYMENT,26484.42,C1080496230,0.0,0.0,M896264774,0.0,0.0,0,0
PAYMENT,28094.18,C847904401,91530.25,63436.07,M1905478156,0.0,0.0,0,0
CASH_IN,94018.27,C805107720,6118298.68,6212316.95,C563027487,99820.63,5802.36,0,0
CASH_IN,14257.19,C370569865,13092799.48,13107056.66,C2061470297,420976.68,406719.5,0,0
CASH_OUT,479409.38,C1934247515,102975.0,0.0,C1758587053,97847.91,577257.29,0,0
PAYMENT,23540.38,C1692959477,0.0,0.0,M608520101,0.0,0.0,0,0
CASH_OUT,187833.38,C1354832887,33111.0,0.0,C2106408365,1502280.4,1690113.78,0,0
PAYMENT,246.23,C2125925963,0.0,0.0,M1834567327,0.0,0.0,0,0
CASH_OUT,113046.81,C1311476723,16843.0,0.0,C2122310163,0.0,113046.81,0,0
CASH_OUT,369567.04,C1876747261,0.0,0.0,C1158579798,20493130.49,20862697.53,0,0
CASH_OUT,299321.58,C291853384,0.0,0.0,C2027569559,10109193.93,10408515.5,0,0
CASH_OUT,413818.65,C508411252,0.0,0.0,C2094889186,747262.15,869620.53,0,0
PAYMENT,7213.9,C1948077268,0.0,0.0,M536538468,0.0,0.0,0,0
PAYMENT,8352.18,C2027013130,152564.3,144212.13,M143699969,0.0,0.0,0,0
CASH_IN,253618.48,C415493364,11458478.31,11712096.79,C598289138,1001410.92,747792.45,0,0
CASH_OUT,212578.37,C1687350712,59468.0,0.0,C1367359796,47550.0,260128.38,0,0
PAYMENT,5539.21,C197926210,31211.0,25671.79,M185376851,0.0,0.0,0,0
PAYMENT,11170.12,C1545632508,0.0,0.0,M1900850549,0.0,0.0,0,0
TRANSFER,1170784.28,C693082930,0.0,0.0,C102195536,1978726.49,3149510.77,0,0
CASH_IN,191263.28,C25441527,1274536.37,1465799.65,C2051170349,2560607.6,2369344.32,0,0
CASH_IN,12268.2,C1678488393,7761393.97,7773662.17,C745043193,3228248.53,3215980.33,0,0
CASH_OUT,151814.97,C1073341038,22133.0,0.0,C1108938695,0.0,151814.97,0,0
PAYMENT,15150.42,C176807552,4018.0,0.0,M91943884,0.0,0.0,0,0
PAYMENT,3991.58,C714508743,500329.0,496337.42,M1331668412,0.0,0.0,0,0
PAYMENT,7203.24,C1326461007,79418.0,72214.76,M1723940684,0.0,0.0,0,0
CASH_OUT,635880.27,C2120505996,189653.26,0.0,C1329688547,10213313.36,10849193.63,0,0
PAYMENT,6169.57,C1801579017,105995.0,99825.43,M864168288,0.0,0.0,0,0
CASH_OUT,301920.87,C1668017743,0.0,0.0,C1774310379,892753.8,1194674.67,0,0
CASH_OUT,75580.81,C1802507692,0.0,0.0,C1874619786,116342.46,191923.26,0,0
PAYMENT,19160.9,C939408740,0.0,0.0,M498585534,0.0,0.0,0,0
CASH_IN,98142.24,C1032427601,25272.0,123414.24,C712390311,9515.88,0.0,0,0
PAYMENT,1502.13,C753567932,0.0,0.0,M1212955414,0.0,0.0,0,0
CASH_OUT,9126.84,C74855873,0.0,0.0,C1718698204,1004502.77,1013629.61,0,0
CASH_IN,397776.19,C1721295965,1032.0,398808.19,C1321640594,6351648.57,5953872.37,0,0
CASH_IN,284687.05,C1284868428,40984.0,325671.05,C1800466361,0.0,0.0,0,0
CASH_OUT,182065.29,C1532859732,7100.0,0.0,C1725525019,1520096.61,1702161.9,0,0
CASH_OUT,364224.71,C897562838,0.0,0.0,C1808712596,589031.88,953256.59,0,0
PAYMENT,9878.86,C1735946075,201894.0,192015.14,M1163971790,0.0,0.0,0,0
PAYMENT,1469.19,C1031218732,0.0,0.0,M306851188,0.0,0.0,0,0
PAYMENT,43463.31,C296506315,61697.09,18233.78,M1972635383,0.0,0.0,0,0
PAYMENT,8810.55,C957798933,871.0,0.0,M431613043,0.0,0.0,0,0
PAYMENT,27158.86,C1965405527,0.0,0.0,M379804196,0.0,0.0,0,0
PAYMENT,825.16,C1710666683,99058.0,98232.84,M1234527566,0.0,0.0,0,0
CASH_OUT,233831.13,C1362714811,0.0,0.0,C1854859601,2366525.56,2600356.69,0,0
CASH_OUT,233243.67,C106494153,0.0,0.0,C1310255027,683799.21,917042.88,0,0
CASH_OUT,520985.66,C1514736640,348353.34,0.0,C1248839266,1790.0,477345.8,0,0
PAYMENT,18731.5,C2122949411,147106.0,128374.5,M1103680107,0.0,0.0,0,0
CASH_IN,204377.75,C1956357242,1709192.43,1913570.18,C1462775235,290164.37,85786.63,0,0
CASH_IN,139204.47,C1989621459,3107796.15,3247000.62,C48665884,31320696.79,31181492.32,0,0
PAYMENT,10605.38,C2078125396,0.0,0.0,M489101103,0.0,0.0,0,0
PAYMENT,24353.28,C1897229455,558643.91,534290.64,M56235931,0.0,0.0,0,0
PAYMENT,12825.07,C1835984085,0.0,0.0,M699759875,0.0,0.0,0,0
PAYMENT,12332.34,C1495306980,34863.0,22530.66,M20513362,0.0,0.0,0,0
CASH_OUT,155990.8,C523151800,100151.0,0.0,C1121292591,152232.43,308223.22,0,0
PAYMENT,3630.27,C1889410280,3083.0,0.0,M1394223166,0.0,0.0,0,0
CASH_OUT,281139.54,C828664832,0.0,0.0,C1503151116,1746028.41,2027167.96,0,0
CASH_OUT,26770.14,C2056975251,3445.0,0.0,C1692962727,322390.47,349160.61,0,0
PAYMENT,11702.82,C506702956,5087.0,0.0,M808558144,0.0,0.0,0,0
PAYMENT,6563.4,C677510937,1751.0,0.0,M1570297468,0.0,0.0,0,0
PAYMENT,6072.7,C89607649,0.0,0.0,M1270936014,0.0,0.0,0,0
CASH_OUT,42324.13,C1643175525,0.0,0.0,C1822503762,3331674.94,3373999.08,0,0
PAYMENT,9517.32,C1499618830,91063.13,81545.81,M456057791,0.0,0.0,0,0
CASH_OUT,229611.52,C752435240,36987.0,0.0,C631798559,10984.9,240596.43,0,0
TRANSFER,10000000.0,C731702292,0.0,0.0,C1462036800,11707426.7,22534668.92,0,0
CASH_OUT,8082.56,C1497958872,0.0,0.0,C283572058,1801710.06,1809792.62,0,0
CASH_OUT,123573.48,C1826139866,0.0,0.0,C1515121276,727977.66,851551.13,0,0
PAYMENT,11496.17,C463797209,0.0,0.0,M377140259,0.0,0.0,0,0
PAYMENT,7801.46,C602883219,0.0,0.0,M1788666299,0.0,0.0,0,0
CASH_OUT,50028.92,C2040613051,66716.0,16687.08,C993856788,708.0,40829.37,0,0
PAYMENT,16119.15,C1668464629,0.0,0.0,M1257858394,0.0,0.0,0,0
PAYMENT,14281.51,C1905532991,0.0,0.0,M1139151053,0.0,0.0,0,0
PAYMENT,16986.64,C2034831238,21143.0,4156.36,M1039268927,0.0,0.0,0,0
PAYMENT,58699.61,C278915120,114318.7,55619.08,M548099550,0.0,0.0,0,0
CASH_IN,127837.5,C1594775336,1842312.57,1970150.08,C606383121,277397.5,149560.0,0,0
CASH_OUT,119568.69,C156019692,0.0,0.0,C1830662000,391635.79,511204.48,0,0
CASH_OUT,19787.19,C890930945,5318.0,0.0,C2006096491,135122.67,154909.86,0,0
CASH_IN,214667.53,C974110811,10421684.69,10636352.21,C419563446,3580838.47,3366170.94,0,0
PAYMENT,598.29,C1841487960,118607.0,118008.71,M2002939646,0.0,0.0,0,0
PAYMENT,7810.29,C262833244,0.0,0.0,M410700069,0.0,0.0,0,0
CASH_OUT,419099.05,C433620716,0.0,0.0,C2095965600,4202117.32,4621216.38,0,0
CASH_IN,198758.65,C732090964,143629.0,342387.65,C2129869786,940906.22,742147.57,0,0
CASH_OUT,5569.48,C891899388,41869.73,36300.25,C553493744,577640.76,583210.24,0,0
CASH_OUT,233369.53,C1484904385,0.0,0.0,C730610956,3070668.5,3304038.03,0,0
PAYMENT,14883.81,C624322927,0.0,0.0,M282879050,0.0,0.0,0,0
CASH_OUT,252954.77,C1482588559,0.0,0.0,C677512033,2697846.74,2950801.51,0,0
CASH_IN,142348.8,C2086446812,179.0,142527.8,C144901544,2518596.2,2376247.4,0,0
CASH_OUT,232233.04,C796352391,34754.0,0.0,C80302590,6693133.04,6925366.08,0,0
CASH_OUT,9781.31,C570222872,4480.0,0.0,C1269528429,0.0,9781.31,0,0
CASH_IN,169516.07,C274082979,70173.76,239689.83,C1989339516,1471750.93,1302234.86,0,0
PAYMENT,7955.64,C296497971,45068.82,37113.18,M1388534890,0.0,0.0,0,0
PAYMENT,6517.88,C548298469,81398.0,74880.12,M1149819010,0.0,0.0,0,0
TRANSFER,3841806.01,C800176645,0.0,0.0,C920086261,5905958.0,9747764.02,0,0
CASH_IN,172324.58,C1812327281,203860.0,376184.58,C1318248200,0.0,455790.73,0,0
CASH_OUT,371785.5,C309000244,52563.0,0.0,C2028310891,269792.26,641577.76,0,0
CASH_OUT,340680.93,C703596922,11402.0,0.0,C2028875531,3797644.5,4138325.43,0,0
CASH_IN,142664.0,C249927059,2933124.69,3075788.69,C1613123097,427809.83,285145.83,0,0
PAYMENT,3047.48,C304904183,0.0,0.0,M1829507613,0.0,0.0,0,0
PAYMENT,9095.52,C2054410434,78711.0,69615.48,M96626616,0.0,0.0,0,0
TRANSFER,83023.87,C1408312837,2004.0,0.0,C280629251,0.0,83023.87,0,0
CASH_IN,53846.93,C1907050866,10173.0,64019.93,C86201486,11069437.36,11015590.43,0,0
PAYMENT,10076.41,C1118890476,372406.51,362330.09,M2128279772,0.0,0.0,0,0
CASH_IN,264604.02,C779069785,2163.0,266767.02,C1651106234,0.0,0.0,0,0
